db_id,artistName,albumName,trackName,id,albumID,uri,duration_ms
13339,The Dreadnoughts,Cyder Punks Unite,Sally Brown,7hToIMqJUBHPOhU2O9p1Oi,40TD3t0i1dHDZyM8rkSnTn,spotify:track:7hToIMqJUBHPOhU2O9p1Oi,97941
13340,The Longest Johns,Written in Salt,The Grey Funnel Line,0bzR9Fdtg7RA4dF5OzyHr2,7F3T51Kxa6tpDDZq8HSBIa,spotify:track:0bzR9Fdtg7RA4dF5OzyHr2,236160
13341,The Longest Johns,Between Wind And Water,Haul Away Joe,7kXxpqMNTR0PdvwXZr3j3m,0czdThetfLyCdGpAF2dRqR,spotify:track:7kXxpqMNTR0PdvwXZr3j3m,176500
13342,The Longest Johns,Between Wind And Water,General Taylor,2Y5FmuiKC5ILrar36m12IJ,0czdThetfLyCdGpAF2dRqR,spotify:track:2Y5FmuiKC5ILrar36m12IJ,197000
13343,Great Big Sea,Great Big Sea,Excursion Around The Bay,67DD2xLP2LJ5TMcVNoZRPZ,1hcKeyAsZB3O3MKdjoIhYE,spotify:track:67DD2xLP2LJ5TMcVNoZRPZ,149560
13344,Great Big Sea,Play,General Taylor,1UqXxYdgot3eqmrzMt0HFb,0aDWCrEQxS7RH66v20qezy,spotify:track:1UqXxYdgot3eqmrzMt0HFb,176400
13345,The Longest Johns,Between Wind And Water,Haul Away Joe,7kXxpqMNTR0PdvwXZr3j3m,0czdThetfLyCdGpAF2dRqR,spotify:track:7kXxpqMNTR0PdvwXZr3j3m,176500
13346,The Longest Johns,Between Wind And Water,Woodpile,7zhvwzlv5bORD82kiGxmyw,0czdThetfLyCdGpAF2dRqR,spotify:track:7zhvwzlv5bORD82kiGxmyw,126000
13347,The Longest Johns,Between Wind And Water,Santiana,21Jm43WPaIsv82UJsPkMF0,0czdThetfLyCdGpAF2dRqR,spotify:track:21Jm43WPaIsv82UJsPkMF0,174500
13348,The Longest Johns,Between Wind And Water,Off To Sea,4UIrHCB53oLV58ylcsdFxf,0czdThetfLyCdGpAF2dRqR,spotify:track:4UIrHCB53oLV58ylcsdFxf,271000
13349,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Digital Roots,21JQ1y4y0tBSwSJv0zV9K7,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:21JQ1y4y0tBSwSJv0zV9K7,33812
13350,Michiel Schrey,Assassin's Creed 4: Black Flag (The Complete Edition) [Original Game Soundtrack],Running Down to Cuba,3nUgmDWwwmHAbGXZoaeZdz,7G0O4t6PMa6bcOLc3KgztU,spotify:track:3nUgmDWwwmHAbGXZoaeZdz,89880
13351,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),You Can Always Come Home,2Rf33bpATyDiqTGm0NvlNb,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:2Rf33bpATyDiqTGm0NvlNb,100800
13352,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Berdly,3GtA0wC7ZV1LtiaKVcFARJ,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:3GtA0wC7ZV1LtiaKVcFARJ,46020
13353,Great Big Sea,XX,Josephine The Baker,03AO3uFbs9rU4Eyxq0Cty8,1ipvJTbk5ySPniqapRTrsn,spotify:track:03AO3uFbs9rU4Eyxq0Cty8,275120
13354,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Girl Next Door,3elKCP0PpuipOtLn7K8FXT,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:3elKCP0PpuipOtLn7K8FXT,54698
13355,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Elegant Entrance,0v32fKwN5VpiZYEW9bwcmI,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:0v32fKwN5VpiZYEW9bwcmI,78000
13356,Toby Fox,Pinocchio,A Real Boy!,2ok2k9RZWB9cZexVjIRp1q,5zsAzctyWGNrchLWXFvKgz,spotify:track:2ok2k9RZWB9cZexVjIRp1q,101747
13357,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Faint Glow,0wntsmQSoI55KsAD56KEAq,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:0wntsmQSoI55KsAD56KEAq,77315
13358,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Cool Beat,1GDlWTtvFLS0ii1lNeG8lL,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1GDlWTtvFLS0ii1lNeG8lL,17455
13359,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Mini Studio,2Y5yRdf42KyABdwUaafUgp,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:2Y5yRdf42KyABdwUaafUgp,51724
13360,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),My Castle Town,6g0y8cpi8c9eCPfz5XvW5T,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:6g0y8cpi8c9eCPfz5XvW5T,127555
13361,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Sound Studio,51XshBkYoRNSL5iRQD1SJF,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:51XshBkYoRNSL5iRQD1SJF,68870
13362,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Smart Race,1GdTlOlPxxXhuA1Z4Tbf5H,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1GdTlOlPxxXhuA1Z4Tbf5H,66108
13363,Toby Fox,UNDERTALE Soundtrack,sans.,26lWYpgbcknITI0Fy1eZDs,2M2Ae2SvZe3fmzUtlVOV5Z,spotify:track:26lWYpgbcknITI0Fy1eZDs,50625
13364,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Giga Size,7gRPYFtMaq0KIOO7vIxCLd,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:7gRPYFtMaq0KIOO7vIxCLd,107520
13365,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),The Dark Truth,49vU3wEaRNGzZIy1TATOlW,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:49vU3wEaRNGzZIy1TATOlW,72000
13366,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),BIG SHOT,2hpQl8ryv3IonCg9LiAtGT,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:2hpQl8ryv3IonCg9LiAtGT,142286
13367,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),WELCOME TO THE CITY,30hbRoex1LUK0fShzTLR1C,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:30hbRoex1LUK0fShzTLR1C,114005
13368,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Pandora Palace,7tNsMfItoswjCO5oOQgbBB,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:7tNsMfItoswjCO5oOQgbBB,99600
13369,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Attack of the Killer Queen,1K45maA9jDR1kBRpojtPmO,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1K45maA9jDR1kBRpojtPmO,120000
13370,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),"It's Pronounced ""Rules""",6zOVVoWfAnRMj5XfcvUoyF,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:6zOVVoWfAnRMj5XfcvUoyF,61241
